"Variables";"Hidden_layers";"Dropout";"Activation";"Loss";"Accuracy_in";"Accuracy_out";"Acc";"Prec";"Recall";"Fscore";"erro_I";"erro_II"
"todas";3;0;"sigmoid";0,65808713652199;0,634139341484177;0,628019115689465;0,628019115684333;0,612814166031988;0,612814166031988;0,612814166031988;8,13513265077421;15,3149411639301
"todas";3;0,3;"sigmoid";0,641394826716324;0,6391619430379;0,64003099840446;0,640030998407026;0,631073725878278;0,631073725878278;0,631073725878278;-10,8560083195868;32,2023384352444
"todas_tab1";3;0;"sigmoid";0,702110354525287;0,50685226368136;0,511775089315157;0,511775089335687;0,487929773226042;0,487929773226042;0,487929773226042;15,8644413752688;2,41420711605699
"todas_tab1";3;0,3;"sigmoid";0,692856659913138;0,505130228959839;0,514358289926345;0,514358289921212;0,484464902186421;0,484464902186421;0,484464902186421;16,9461394552428;3,96598916291773
"lasso";3;0;"sigmoid";0,66334278444337;0,629403745528486;0,623412407996575;0,623412407973479;0,590803306315705;0,590803306315705;0,590803306315705;7,89593800718737;15,5898643722023
"lasso";3;0,3;"sigmoid";0,641353699472936;0,641314486447285;0,637490851144063;0,637490851164593;0,617321978619315;0,617321978619315;0,617321978619315;-9,83156779438919;33,7156529409568
"lasso_tab1";3;0;"sigmoid";0,700472677670637;0,523498600859497;0,522839798515487;0,522839798510354;0,497148660260917;0,497148660260917;0,497148660260917;6,27764889133809;18,6091094942788
"lasso_tab1";3;0,3;"sigmoid";0,693920649452421;0,510224582124767;0,495630085706947;0,495630085676153;0,480135249366019;0,480135249366019;0,480135249366019;22,4004940195693;-26,1300443267895
"stepwise";3;0;"sigmoid";0,635870242109084;0,647843868876834;0,639858785057754;0,639858785034658;0,616018949030617;0,616018949030617;0,616018949030617;10,9952628850689;12,8004042738943
"stepwise";3;0,3;"sigmoid";0,636665853596629;0,641170983815061;0,636500624304269;0,636500624273475;0,60913187654111;0,60913187654111;0,60913187654111;-12,3098770466344;42,9553734653703
"stepwise_tab1";3;0;"sigmoid";0,692150897722502;0,51194661668805;0,521117664817465;0,521117664786671;0,493590470788429;0,493590470788429;0,493590470788429;19,4876227039794;5,56834533871183
"stepwise_tab1";3;0,3;"sigmoid";0,692795199751418;0,504556217156482;0,504369914318715;0,504369914323847;0,480402873204247;0,480402873204247;0,480402873204247;24,6132200965914;-7,31188453055215
"torneio";3;0;"sigmoid";0,636481044980391;0,644686804826542;0,642097558880579;0,642097558875447;0,623522945864248;0,623522945864248;0,623522945864248;15,89284324364;8,97136738802765
"torneio";3;0,3;"sigmoid";0,640070397000237;0,637009399389018;0,633616050291437;0,633616050286305;0,613967906637491;0,613967906637491;0,613967906637491;-15,8259075228336;37,3377319922177
"torneio_tab1";3;0;"sigmoid";0,695923060449489;0,496161297373188;0,507426701662856;0,507426701683386;0,485073076123848;0,485073076123848;0,485073076123848;15,0813634836077;2,20685391347957
"torneio_tab1";3;0,3;"sigmoid";0,693672335298749;0,506780512437953;0,514659663335688;0,514659663322857;0,488243182834153;0,488243182834153;0,488243182834153;10,3541235783834;13,6000476840185
"todas";3;0;"sigmoid";0,657745231746339;0,637081150995947;0,622680501164009;0,622680501140914;0,58909869882577;0,58909869882577;0,58909869882577;13,9217433083245;8,79859534029478
"todas";3;0,3;"sigmoid";0,641573368217365;0,640453469221241;0,639342144940648;0,639342144917553;0,637896721483188;0,637896721483188;0,637896721483188;-9,34995253928862;27,2984946360789
"todas_tab1";3;0;"sigmoid";0,708242772362218;0,525794647474187;0,520557971305944;0,520557971326474;0,49378453038674;0,49378453038674;0,49378453038674;1,72303458019073;16,3776144544559
"todas_tab1";3;0,3;"sigmoid";0,693634855974073;0,509004807270368;0,502131140462529;0,502131140483059;0,480594087151464;0,480594087151464;0,480594087151464;14,7494346394182;-1,9540024555881
"lasso";3;0;"sigmoid";0,654071801017328;0,633852335368662;0,629741249395186;0,629741249408017;0,624406359694404;0,624406359694404;0,624406359694404;12,2388142048286;12,1724107864841
"lasso";3;0,3;"sigmoid";0,64191173012855;0,641529740895997;0,638351918005905;0,638351918026435;0,626282175343526;0,626282175343526;0,626282175343526;-9,62682412890024;31,0954480484478
"lasso_tab1";3;0;"sigmoid";0,706679347361875;0,521561311479705;0,521246824813381;0,521246824815947;0,495479204339964;0,495479204339964;0,495479204339964;11,0632134310513;9,28443074021945
"lasso_tab1";3;0,3;"sigmoid";0,692633201889448;0,513166391662197;0,511258449223714;0,511258449218582;0,485250991892358;0,485250991892358;0,485250991892358;13,7323016118635;8,57826660504649
"stepwise";3;0;"sigmoid";0,635083903471663;0,646982851381357;0,641839238796365;0,641839238816894;0,61859850154253;0,61859850154253;0,61859850154253;13,6118274543797;10,2257197894393
"stepwise";3;0,3;"sigmoid";0,637044198907607;0,636363636312316;0,637964437943738;0,637964437938606;0,631562974203338;0,631562974203338;0,631562974203338;-14,6742013462839;34,5840303389773
"stepwise_tab1";3;0;"sigmoid";0,692753298966664;0,50907655859931;0,518103930801018;0,518103930770224;0,490507314036726;0,490507314036726;0,490507314036726;23,2952277621348;1,87796071824688
"todas";3;0;"sigmoid";0,651615045664154;0,626246681354168;0,627717742305784;0,627717742282688;0,621691214337213;0,621691214337213;0,621691214337213;9,35030756319633;14,0725028678988
"todas";3;0,3;"sigmoid";0,644538628766071;0,640596972067301;0,638179704677162;0,638179704654066;0,629086586090747;0,629086586090747;0,629086586090747;-9,77399526851923;31,2102576801451
"todas_tab1";3;0;"sigmoid";0,709566017853314;0,508502547219348;0,512420889461539;0,512420889482068;0,484311186373145;0,484311186373145;0,484311186373145;18,5469903323212;2,51007330212929
"todas_tab1";3;0,3;"sigmoid";0,692963724289913;0,508359044099578;0,525982692559926;0,525982692556077;NA;NA;NA;NA;10,7917195766194
"lasso";3;0;"sigmoid";0,652908210058549;0,63040826562625;0,627330262192293;0,627330262194859;0,62718824292198;0,62718824292198;0,62718824292198;7,51648287697086;15,1927452562809
"lasso";3;0,3;"sigmoid";0,643495007283813;0,640094711836659;0,637964437961702;0,637964437938606;0,631430015159171;0,631430015159171;0,631430015159171;-10,0286771785327;31,0972302301305
"lasso_tab1";3;0;"sigmoid";0,70838199740318;0,525722895991283;0,525552159130288;0,525552159125156;0,499493927125506;0,499493927125506;0,499493927125506;10,8768880012521;10,8239381043137
"lasso_tab1";3;0,3;"sigmoid";0,693016720302097;0,508359044099578;0,525982692559926;0,525982692556077;NA;NA;NA;NA;10,7917195766194
"stepwise";3;0;"sigmoid";0,634864009165213;0,645547822292082;0,643044732402943;0,643044732423473;0,621611950979515;0,621611950979515;0,621611950979515;8,80828841189849;15,0565062262068
"stepwise";3;0,3;"sigmoid";0,640512757935793;0,639090191525059;0,640547638529264;0,640547638524131;0,641317047265003;0,641317047265003;0,641317047265003;-17,5518003950319;28,8092719725551
"stepwise_tab1";3;0;"sigmoid";0,694242549100643;0,507067518189946;0,511732035972065;0,511732035992595;0,487428788454235;0,487428788454235;0,487428788454235;22,0802963303837;-4,47372256941916
"stepwise_tab1";3;0,3;"sigmoid";0,693049712975478;0,508359044099578;0,525982692559926;0,525982692556077;NA;NA;NA;NA;10,7917195766194
"torneio";3;0;"sigmoid";0,63490919574743;0,645332567963118;0,64317389243222;0,643173892452749;0,627889494455929;0,627889494455929;0,627889494455929;5,95232183690065;18,7532782080011
"torneio";3;0,3;"sigmoid";0,642045843183966;0,637081151115695;0,634304903780911;0,634304903775778;0,613231323132313;0,613231323132313;0,613231323132313;-14,1979197540068;39,4945852794926
"torneio_tab1";3;0;"sigmoid";0,704094203413957;0,496448302851471;0,50277694060891;0,50277694062944;0,48006509357201;0,48006509357201;0,48006509357201;13,7900865991989;7,79894275487201
"torneio_tab1";3;0,3;"sigmoid";0,693117759849487;0,508359044099578;0,525982692559926;0,525982692556077;NA;NA;NA;NA;10,7917195766194
